Date,Demand,Hour,Weekday,Price
2018-07-26,1167.36,12,Weekday,30.6
2018-07-26,1155.84,13,Weekday,37.15
2018-07-26,1265.28,14,Weekday,35.66
2018-07-26,1222.08,15,Weekday,37.46
2018-07-26,1193.28,16,Weekday,60.72
2018-07-26,1109.76,17,Weekday,36.54
2018-07-26,948.48,18,Weekday,35.04
2018-07-26,640.32,19,Weekday,32.92
2018-07-26,456.96,20,Weekday,39.44
2018-07-26,366.72,21,Weekday,40.35
2018-07-26,280.32,22,Weekday,31.39
2018-07-26,250.56,23,Weekday,23.61
2018-07-27,204.48,0,Weekday,20.77
2018-07-27,192,1,Weekday,19.59
2018-07-27,182.4,2,Weekday,19.07
2018-07-27,176.64,3,Weekday,18.38
2018-07-27,179.52,4,Weekday,18.33
