Year,Month,Day,Hour,Demand,Price,Weekday
2017,7,25,14,518.2898583914,50.72,1
2017,7,25,15,711.03531994523,36.269999,1
2017,7,25,16,859.13599261043,55.04,1
2017,7,25,17,1052.5062396915305,28.690001,1
2017,7,25,18,1200.6479275722302,35.98,1
2017,7,25,19,1279.07987156683,33.56,1
2017,7,25,20,1379.86696131323,27.17,1
2017,7,25,21,1485.21101684904,26.360001,1
2017,7,25,22,1530.39518156343,21.02,1
2017,7,25,23,1510.27850102669,18.96,1
2017,7,26,0,1326.1170982280998,16.4,1
2017,7,26,1,1172.8246929234,16.02,1
2017,7,26,2,1067.9680618378002,17.200001,1
2017,7,26,3,837.5820082504999,15.050001,1
2017,7,26,4,600.8348170700001,16.99,1
2017,7,26,5,415.11818444577005,19.97,1
2017,7,26,6,288.72815608074,20.35,1
2017,7,26,7,174.76291220371996,20.82,1
2017,7,26,8,131.38231410133,20.94,1
2017,7,26,9,115.87058683134,23.71,1
2017,7,26,10,127.965818805,27.03,1
2017,7,26,11,167.93027930964,31.760001,1
